Journal,主办单位,网址,CCF推荐类型
软件学报,中国科学院软件研究所 中国计算机学会,http://www.jos.org.cn,A类
计算机学报,中国计算机学会 中国科学院计算技术研究所,http://cjc.ict.ac.cn,A类
中国科学：信息科学,中国科学院 国家自然科学基金委员会,http://infocn.scichina.com,A类
计算机研究与发展,中国科学院计算技术研究所 中国计算机学会,http://crad.ict.ac.cn,A类
计算机辅助设计与图形学学报,中国计算机学会 中国科学院计算技术研究所,http://www.jcad.cn,A类
电子学报,中国电子学会,http://www.ejournal.org.cn,A类
自动化学报,中国自动化学会 中国科学院自动化研究所,http://www.aas.net.cn,A类
通信学报,中国通信学会,http://www.infocomm-journal.com/txxb/,B类
科学通报,中国科学院 国家自然科学基金委员会,http://engine.scichina.com/publisher/scp/journal/CSB/,B类
中文信息学报,中国中文信息学会 中国科学院软件研究所,http://jcip.cipsc.org.cn,B类
模式识别与人工智能,中国自动化学会 国家智能计算机研究开发中心 中国科学院合肥智能机械研究所,http://manu46.magtech.com.cn/Jweb_prai/,B类
信息安全学报,中国科学院信息工程研究所 科学出版社,http://jcs.iie.ac.cn,B类
中国图像图形学报,中国科学院遥感与数字地球研究所 中国图象图形学学会 北京应用物理与计算数字研究所,www.cjig.cn,B类
系统仿真学报,中国仿真学会 北京仿真中心,http://www.china-simulation.com/,B类
计算机科学,重庆西南信息有限公司,http://www.jsjkx.com,B类
小型微型计算机系统,中国科学院沈阳计算技术研究所,http://xwxt.sict.ac.cn,B类
计算机科学与探索,华北计算技术研究所,http://fcst.ceaj.org,B类
密码学报,中国密码学会,http://www.jcr.cacrnet.org.cn,B类
计算机工程与应用,华北计算技术研究所,http://cea.ceaj.org,C类
计算机工程与科学,国防科技大学计算机学院,http:// joces.nudt.edu.cn,C类
计算机应用,中国科学院成都分院 四川省计算机学会,http://www.joca.cn/,C类
计算机仿真,北京控制与电子技术研究所,http://compusimu.gnway.cc,C类
计算机系统应用,中国科学院软件研究所,http://www.c-s-a.org.cn,C类
计算机应用研究,四川省计算机研究院,http://www.arocmag.com/,C类
计算机应用与软件,上海市计算技术研究所 上海计算机软件技术开发中心,http://www.shcas.net/,C类
图学学报,中国图学学会,http://www.txxb.com.cn,C类
计算机工程,华东计算技术研究所 上海市计算机学会,http://www.ecice06.com,C类
计算机工程与设计,中国航天科工集团706所,http://www.china-ced.com/,C类
计算机集成制造系统,中国兵器工业集团公司第210研究所,http://www.cims-journal.cn,C类
计算机技术与发展,陕西省计算机学会,www.xactad.net,C类
数据分析与知识发现,中国科学院文献情报中心,www.infotech.ac.cn,C类
智能系统学报,中国人工智能学会 哈尔滨工程大学,http://tis.hrbeu.edu.cn/,C类
大数据,人民邮电出版社有限公司,http://www.j-bigdataresearch.com.cn/,C类
电子与信息学报,中国科学院电子学研究所 国家自然科学基金委员会信息科学部,http://jeit.ie.ac.cn/,C类
计算机与数字工程,中国船舶重工集团公司第709研究所,http://jsj.709journal.com,C类
网络与信息安全学报,人民邮电出版社,http://www.cjnis.com.cn/,C类
计算机教育,清华大学,http://www.jsjjy.com/,C类
